,League,School/Network,Age,Date,Day,Time,Venue,Home Team,Visiting Team,Result,Record,Needs Bus,Notes,Harlem Score,Opposition Score,Game Result,Opponent
2,CSAA,HSLA-Harlem ,Varsity - Boys,2023-09-28,Thursday ,4:00 PM,Jacob Schiff,Basis Independent Manhattan,Success Academy Harlem,W 5-1,1-0,No,No nets,5,1,W,Basis Independent Manhattan
5,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-02,Monday,5:00 PM,Thomas Jefferson Park,Success Academy Harlem,American Dream,W 4-2,2-0,No,,4,2,W,American Dream
8,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-12,Thursday ,4:00 PM,Central Park North Meadow #6,Success Academy Harlem,Cristo Rey NY,W 2-1,3-0,No,Nets provided,2,1,W,Cristo Rey NY
12,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-13,Friday,5:00 PM,Central Park North Meadow #5,Success Academy Harlem,New Heights,W 12-0,4-0,No,Nets provided,12,0,W,New Heights
15,CSAA,HSLA-Harlem/Manhattan ,Varsity - Boys,2023-10-17,Tuesday,5:00 PM,Jacob Schiff,Success Academy Harlem,Success Academy Manhattan,T 2-2,4-1-0,No,,2,2,T,Success Academy Manhattan
18,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-19,Thursday ,5:00 PM,Flushing Meadows Corona Park #3,Saint Demetrios,Success Academy Harlem,W 7-0,5-1-0,No,,7,0,W,Saint Demetrios
20,Scrimmage,HSLA-Harlem ,Varsity - Boys,2023-10-21,Saturday,3:00 PM,Pier 42,Essex Street Academy,Success Academy Harlem,W 6-2,,No,,6,2,W,Essex Street Academy
24,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-27,Friday,4:00 PM,Harlem River Park,Success Academy Harlem,Health & Science,W 7-0,6-1-0,No,,7,0,W,Health & Science
26,CSAA,HSLA-Harlem ,Varsity - Boys,2023-10-30,Monday,5:00 PM,Harlem River Park,Success Academy Harlem,Legacy ,W 4-1,7-1-0,No,,4,1,W,Legacy 
29,CSAA,HSLA-Harlem ,Varsity - Boys,2023-11-03,Friday,5:00 PM,Central Park North Meadow #5,KIPP NYC,Success Academy Harlem,W 3-2,8-1-0,No,,3,2,W,KIPP NYC
32,CSAA,HSLA-Harlem ,Varsity - Boys,2023-11-08,Wednesday,4:00 PM,Harlem River Park,Success Academy Harlem,New Visions,W 1-0,9-1-0,No,,1,0,W,New Visions
35,CSAA - QF's,HSLA-Harlem ,Varsity - Boys,2023-11-13,Monday,4:00 PM,Harlem River Park,Success Academy Harlem,Health & Science,W 6-1,10-1-0,No,,6,1,W,Health & Science
37,CSAA - SF's,HSLA-Harlem ,Varsity - Boys,2023-11-15,Wednesday,4:00 PM,Harlem River Park,Success Academy Harlem,Cristo Rey NY,W 1-0,11-1-0,No,,1,0,W,Cristo Rey NY
39,CSAA - Conference Championship,Finals,Varsity - Boys,2023-11-17,Friday,4:00 PM,Harlem River Park,Success Academy Harlem,New Visions,L 1-1 (5-3 PK),11-1-1,No,,1,1,L,New Visions
